job_id,first_seen_date,last_seen_date,title,company,location,is_remote,salary_min,salary_max,salary_currency,salary_period,salary_is_estimate,salary_raw,contract_type,contract_time,date_posted,source,url,description
a9a21d5ba3e14729,2026-09-18,2026-09-18,Senior Data Engineer (Commercial Analytics),Pleo,"London, UK",False,84922.79,84922.79,GBP,annual,True,Adzuna estimate,,full_time,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5889013215?utm_medium=api&utm_source=jobaggregator,"About Pleo Messy spend management is tricky business. And tedious processes are a lose-lose situation for all involved, not just finance. At Pleo, we're changing that. We build spend solutions that make managing money seamless, empowering, and surprisingly effective for finance teams and employees alike - with a vision to help all businesses ‘go beyond’. The word ‘Pleo’ actually means ‘more than..."
b224efbd66fc0daa,2026-09-18,2026-09-18,Senior Data Engineer,Quantum,"London, UK",False,55744.69,55744.69,GBP,annual,True,Adzuna estimate,,full_time,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5889040471?utm_medium=api&utm_source=jobaggregator,"Our Company At Quantum, we connect global brands with high-intent consumers. We turn intent into action and complexity into clarity. Our Mission is clear, to help smarter, faster buying decisions. Our vision, to be the world’s most used digital comparison service, delivering value and simplicity to millions. We drive growth through data-driven affiliate marketing built for performance from day..."
6f22c60cc355ad78,2026-09-18,2026-09-18,Senior Data Engineer,Oliver James,London,False,550.0,550.0,GBP,daily,False,,,,2026-09-18,Reed,https://www.reed.co.uk/jobs/senior-data-engineer/57362158,"Senior Data Engineer - Databricks | Hybrid London | 550/day Outside IR35 | 12 Months A well-established transport/travel sector business is expanding its Data & Middleware function as part of a major analytics transformation, and is looking for a Senior Data Engineer to help build out its data platform and data products. You'll join a growing team modernising a legacy estate onto a modern Event..."
db4f772b750a3ad9,2026-09-18,2026-09-18,Junior Data Engineer,Lendable,"London, UK",False,37690.77,37690.77,GBP,annual,True,Adzuna estimate,,full_time,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5889037553?utm_medium=api&utm_source=jobaggregator,About Lendable Lendable is on a mission to build the world's best technology to help people get credit and save money. We're building one of the world’s leading fintech companies and are off to a strong start: One of the UK’s newest unicorns with a team of just over 700 people Among the fastest-growing tech companies in the UK Profitable since 2017 Backed by top investors including Balderton...
c5b3d8aa3082fe92,2026-09-18,2026-09-18,Junior Data Engineer,West and North London ICB,"Fitzrovia, West London",False,47951.0,56863.0,GBP,annual,False,,,full_time,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5889027186?utm_medium=api&utm_source=jobaggregator,"If you are looking for a varied, challenging and rewarding role, West and North London offers an excellent opportunity to make a real difference to local residents. This is an exciting time to work in commissioning as the NHS continues to evolve. We support career development at every stage and encourage staff to build on their strengths through ongoing learning and training opportunities. We..."
90419949878fdea8,2026-09-18,2026-09-18,Graduate Data Engineer,Blenheim Chalcot,"London, UK",False,39021.16,39021.16,GBP,annual,True,Adzuna estimate,,,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5889041876?utm_medium=api&utm_source=jobaggregator,"Fospha is the measurement system enterprise retail and ecommerce brands run their business on. We give marketing teams one clear, daily view of what's actually working — across every channel and everywhere they sell, from their website to Amazon and TikTok Shop — down to the level of a single ad or piece of creative. It replaces guesswork and gut feel with a number marketing, finance and agencies..."
820d23f7b6d1042a,2026-09-18,2026-09-18,Graduate Data Engineer,Fospha,"London, UK",False,38732.16,38732.16,GBP,annual,True,Adzuna estimate,,,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5889028091?utm_medium=api&utm_source=jobaggregator,"Fospha is the measurement system enterprise retail and ecommerce brands run their business on. We give marketing teams one clear, daily view of what's actually working — across every channel and everywhere they sell, from their website to Amazon and TikTok Shop — down to the level of a single ad or piece of creative. It replaces guesswork and gut feel with a number marketing, finance and agencies..."
fb78cf6f17f7014f,2026-09-18,2026-09-18,"Data Engineer, Prime Video Content Analytics & Products",Amazon,"London, UK",False,47274.72,47274.72,GBP,annual,True,Adzuna estimate,,,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5888509497?utm_medium=api&utm_source=jobaggregator,Description Come build the future of entertainment with us. Are you interested in shaping the future of movies and television? Do you want to define the next generation of how and what Amazon customers are watching? Prime Video is a premium streaming service that offers customers a vast collection of TV shows and movies - all with the ease of finding what they love to watch in one place. We offer...
55ed927b633d299b,2026-09-18,2026-09-18,Data Engineer,Randstad Technologies,London,False,450.0,451.0,GBP,daily,False,,,,2026-09-18,Reed,https://www.reed.co.uk/jobs/data-engineer/57361992,"Job title: Data engineering specialist Locations: London One Braham or Birmingham Snowhill or Bristol Assembly (hybrid-3 days onsite) Start Date: Need candidate who are immediately available to join Duration: 06 months IR35: Inside Job description: Role Overview We are seeking an experienced Analytics Engineer to design and build scalable analytical data models that support business intelligence,..."
472c00577ec02aae,2026-09-18,2026-09-18,Analytics Engineer,Futureheads Recruitment,"London, UK",True,104000.0,130000.0,GBP,annual,False,,contract,full_time,2026-09-18,Adzuna,https://www.adzuna.co.uk/jobs/details/5888522502?utm_medium=api&utm_source=jobaggregator,"Analytics Engineer 6-Month Contract | Immediate Start | Remote/Hybrid We're partnering with a fast-growing retail subscription business that is investing heavily in its data platform and analytics capabilities. As part of a major transformation programme, they're looking for a Senior Analytics Engineer to help modernise their analytics environment, improve data quality, and support the rollout of..."
